11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,Bill Of Material Report,,,Part present in various sub assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Part Number,"ST2487728, Rev: 1.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Name,IRIS 3 SECTORS ASSY. WIITH BEAM PIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CERN Drawing Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,03-03-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extracted by,Pascal Jean Secouet (psecouet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parts and CAD Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,"[CAD/Document] Type, Type","[Part/CAD/Document] Part Number, Document Number, Document Number","[Part/CAD/Document] Version, Version, Version","[Part/CAD/Document] Name, Definition, Title",[CAD] Mass (kg),[CAD] Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST0923290_01,AA.00,UHV GATE VALVE SERIES 108 DN63 CF,9.568453,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487458_01,AA.03,IRIS BELLOWS-3 SECTORS DECENTRE,0.21233,St. Steel EN 1.4306 (304L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487195_01,AA.04,TRANSITION FOIL-3 SECTORS,0.0532305,Cu Be C17410 (TH02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487462_01,AA.09,ACTUATOR LINK-2ND VACUUM-3 sectors-DECENTRE,4.71115,Alu EN AW-5083 (H116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST1829909_01,AA.01,MD100HSMSL1X000Z,7.23448,Alu EN AW-5083 (H116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST1782525_01,AA.04,BEAM PIPE C SIDE-DOUBLE VACUUM-VERSION 072023,1.51881,St. Steel EN 1.4306 (304L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487461_01,AA.04,SMALL ROTATIVE RING-2ND VACUUM-3 sectors-DECENTRE,0.0105409,Alu EN AW-5083 (H116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487721_01,AA.02,CENTRAL PIPE-IRIS-2ND VACUUM-3 sectors-DECENTRE,0.313133,Carbon Fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487459_01,AA.04,ROTATIVE RING-2ND VACUUM-3 sectors-DECENTRE,0.0155589,Alu EN AW-5083 (H116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487736_01,AA.07,EXTERNAL BP SECONDARY VACUUM-3 SECTORS-DECENTRE,7.23049,Alu EN AW-5083 (H116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST1873216_01,AA.00,UHV GATE VALVE SERIES 108 DN100CF-CUSTOM,10.803705,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST1A38526_01,AA.04,IRIS BASE-3 SECTORS-SYM,0.0721655,Alu EN AW-6082 (T6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST1A38495_01,AA.04,IRIS BASE-3 sectors,0.0891183,Alu EN AW-6082 (T6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487455_01,AA.09,VACUUM VESSEL-SECONDARY VACUUM-3 sectors,7.27557,Alu EN AW-5083 (H116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2500409_01,AA.02,MICROCHANNEL-3 sectors,0.0896362,Carbon Fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST1A38494_01,AA.05,IRIS 1/3 SECTOR-CENTRAL PIPE,0.0608399,Alu EN AW-5083 (O-H111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD,Mechanical/Part,ST2487457_01,AA.03,EXTERNAL RF CONTACT FOR IRIS 3 SECTORS DECENTRE,0.0439901,Cu Be C17410 (TH02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
