							
#	CDB path	FileSize (Run2)	Validity (s)	DCS data	To Remove	Comment	
							
	ITS/Align/Data	500000	1.00E+09				
	ITS/Calib/NoiseMap	30000000	28800				
	ITS/Calib/DeadMap	10000000	28800				
	ITS/Calib/Params	10000	1.00E+09				
							
	MFT/Align/Data	500000	1.00E+09				
	MFT/Calib/NoiseMap	3000000	28800				
	MFT/Calib/DeadMap	3000000	28800				
	MFT/Calib/Params	10000	1.00E+09				
							
	TPC/Calib/IDC	12500000	0.25				
	TPC/Align/Data	2704	1.00E+09				
	TPC/Calib/Pulser	3813733	28800				
	TPC/Calib/CE	4927547	28800				
	TPC/Calib/PadNoise	1343329	28800				
	TPC/Calib/Pedestals	1919841	28800				
#	TPC/Calib/PadGainFactor	12591	28800		x		
	TPC/Calib/GainFactorDedx	1878278	28800				
	TPC/Calib/TimeGain	61545	3600				
	TPC/Calib/AltroConfig	1176942	1.00E+09				
	TPC/Calib/ClusterParam	37299	1.00E+09				
	TPC/Calib/CorrectionMapsRef	12768345	1.00E+09				
	TPC/Calib/CorrectionMaps	17884255	60				
	TPC/Calib/GasComposition	9093114	28800	x		Is used for anchored simulation to account for material budget	
	TPC/Calib/HighVoltage	2384797	600	x			
	TPC/Calib/IonTail	3893405	1.00E+09		?	Much smaller ion tain with GEMs, should be corrected in CRU or cluster finder	
	TPC/Calib/LaserTracks	11115	1.00E+09		?	Not clear yet if this will be needed in the CCDB	
	TPC/Calib/Mapping	30129	1.00E+09		?	Not clear yet	
	TPC/Calib/PadTime0	1996850	28800		?	Not clear yet if this will be needed	
	TPC/Calib/Parameters	4777	28800				
	TPC/Calib/PidResponse	387664	1.00E+09		?	Not clear yet if this will be needed, perhaps merged with TimeGain?	
	TPC/Calib/RecoParam	1070	1.00E+09				
	TPC/Calib/Temperature	29282	600	x			
	TPC/Calib/TimeDrift	1323	600				
							
#	TPC/Config/GasComposition	1220	600		x	The Config part was for the Run1/2 DCS export. I guess this can be removed.	
#	TPC/Config/HighVoltageStat	783	600		x	The Config part was for the Run1/2 DCS export. I guess this can be removed.	
#	TPC/Config/HighVoltage	3714	600		x	The Config part was for the Run1/2 DCS export. I guess this can be removed.	
#	TPC/Config/Temperature	5719	600		x	The Config part was for the Run1/2 DCS export. I guess this can be removed.	
							
	TRD/Align/Data	28767	1.00E+09				
	TRD/Calib/ChamberExB	1925	600				
	TRD/Calib/ChamberGainFactor	2036	600				
	TRD/Calib/ChamberStatus	472	600			TBD: shorter validity of chamber status due to SEUs?	
	TRD/Calib/ChamberT0	1416	600				
	TRD/Calib/ChamberVdrift	1927	600				
	TRD/Calib/DCS	124655	60			???	
	TRD/Calib/DetNoise	362	600				
	TRD/Calib/Krypton	3085409	1.00E+09				
#	TRD/Calib/LocalGainFactor	1817327	3600		x	No longer used in Run 3	
	TRD/Calib/LocalT0	16487	600			Not used	
	TRD/Calib/LocalVdrift	17075	600			Not used	
	TRD/Calib/MonitoringData	8959	600				
	TRD/Calib/PadNoise	1668099	28800				
	TRD/Calib/PadStatus	15881	28800				
	TRD/Calib/PHQ	193161	28800			What PID data will be needed?	
	TRD/Calib/PIDLQ1D	44294	28800				
	TRD/Calib/PIDLQ	446116	28800				
	TRD/Calib/PIDNN	378784	28800				
	TRD/Calib/PIDThresholds	1115	28800				
	TRD/Calib/PRFWidth	17725	28800			???	
	TRD/Calib/RecoParam	958	1.00E+09			???	
	TRD/Calib/TrapConfig	3017386	1.00E+09			Actual TRAPconfig data (blob) is large and stable	
#	TRD/Calib/TrapConfig	O(1kB)	28800			Used TRAPconfig is pointer to data blob	
	TRD/Calib/trd_chamberStatus	5298	3600			needs merging with TRD/Calib/ChamberStatus	
	TRD/Calib/trd_envTemp	38434	600				
	TRD/Calib/trd_gaschromatographCO2	537	600			Still used?	
	TRD/Calib/trd_gaschromatographN2	543	600				
	TRD/Calib/trd_gaschromatographXe	544	600				
	TRD/Calib/trd_gasCO2	507	600				
	TRD/Calib/trd_gasH2O	655	600				
	TRD/Calib/trd_gasO2	620	600				
	TRD/Calib/trd_gasOverpressure	526	600				
	TRD/Calib/trd_goofieCO2	516	600			No longer used	
	TRD/Calib/trd_goofieGain	583	600			No longer used	
	TRD/Calib/trd_goofieHv	514	600			No longer used	
	TRD/Calib/trd_goofieN2	514	600			No longer used	
	TRD/Calib/trd_goofiePeakArea	592	600			No longer used	
	TRD/Calib/trd_goofiePeakPos	587	600			No longer used	
	TRD/Calib/trd_goofiePressure	528	600			No longer used	
	TRD/Calib/trd_goofieTemp	582	600			No longer used	
	TRD/Calib/trd_goofieVelocity	525	600			No longer used	
