LinkID,EndPointID,CRUID,FEEID,ModuleType,LocalChannelID,channel #,EndPoint/Link,Module,PM channel,HV board,HV channel,MCP S/N,HV cable,signal cable
0,0,0,0,PM,1,0,0/0,PMA0,PMA0/Ch01,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,2,1,0/0,PMA0,PMA0/Ch02,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,3,2,0/0,PMA0,PMA0/Ch03,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,4,3,0/0,PMA0,PMA0/Ch04,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,5,4,0/0,PMA0,PMA0/Ch05,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,6,5,0/0,PMA0,PMA0/Ch06,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,7,6,0/0,PMA0,PMA0/Ch07,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,8,7,0/0,PMA0,PMA0/Ch08,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,1,8,0/1,PMC0,PMC0/Ch01,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,2,9,0/1,PMC0,PMC0/Ch02,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,3,10,0/1,PMC0,PMC0/Ch03,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,4,11,0/1,PMC0,PMC0/Ch04,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,5,12,0/1,PMC0,PMC0/Ch05,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,6,13,0/1,PMC0,PMC0/Ch06,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,7,14,0/1,PMC0,PMC0/Ch07,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,8,15,0/1,PMC0,PMC0/Ch08,0,N/A,N/A,N/A,N/A
2,0,0,2,TCM,,16,0/2,TCM,,,,,,
