channel #	PM	PM channel	HV board	HV channel	MCP S/N	HV cable	signal cable	EndPoint/Link
0	A0	PMA0/Ch01	0	HVA0/03	N/A	FTA-D2	FTA-D2-?	0/0
1	A0	PMA0/Ch02	0	HVA0/03	N/A	FTA-D2	FTA-D2-?	0/0
2	A0	PMA0/Ch03	0	HVA0/03	N/A	FTA-D2	FTA-D2-?	0/0
3	A0	PMA0/Ch04	0	HVA0/03	N/A	FTA-D2	FTA-D2-?	0/0
4	A0	PMA0/Ch05	0	HVA0/02	N/A	FTA-D1	FTA-D1-?	0/0
5	A0	PMA0/Ch06	0	HVA0/02	N/A	FTA-D1	FTA-D1-?	0/0
6	A0	PMA0/Ch07	0	HVA0/02	N/A	FTA-D1	FTA-D1-?	0/0
7	A0	PMA0/Ch08	0	HVA0/02	N/A	FTA-D1	FTA-D1-?	0/0
8	A0	PMA0/Ch09	0	HVA0/07	N/A	FTA-E1	FTA-E1-?	0/0
9	A0	PMA0/Ch10	0	HVA0/07	N/A	FTA-E1	FTA-E1-?	0/0
10	A0	PMA0/Ch11	0	HVA0/07	N/A	FTA-E1	FTA-E1-?	0/0
11	A0	PMA0/Ch12	0	HVA0/07	N/A	FTA-E1	FTA-E1-?	0/0
12	A1	PMA1/Ch01	0	HVA0/04	N/A	FTA-D3	FTA-D3-?	0/1
13	A1	PMA1/Ch02	0	HVA0/04	N/A	FTA-D3	FTA-D3-?	0/1
14	A1	PMA1/Ch03	0	HVA0/04	N/A	FTA-D3	FTA-D3-?	0/1
15	A1	PMA1/Ch04	0	HVA0/04	N/A	FTA-D3	FTA-D3-?	0/1
16	A1	PMA1/Ch05	0	HVA0/08	N/A	FTA-E2	FTA-E2-?	0/1
17	A1	PMA1/Ch06	0	HVA0/08	N/A	FTA-E2	FTA-E2-?	0/1
18	A1	PMA1/Ch07	0	HVA0/08	N/A	FTA-E2	FTA-E2-?	0/1
19	A1	PMA1/Ch08	0	HVA0/08	N/A	FTA-E2	FTA-E2-?	0/1
20	A1	PMA1/Ch09	0	HVA0/09	N/A	FTA-E3	FTA-E3-?	0/1
21	A1	PMA1/Ch10	0	HVA0/09	N/A	FTA-E3	FTA-E3-?	0/1
22	A1	PMA1/Ch11	0	HVA0/09	N/A	FTA-E3	FTA-E3-?	0/1
23	A1	PMA1/Ch12	0	HVA0/09	N/A	FTA-E3	FTA-E3-?	0/1
24	A2	PMA2/Ch01	0	HVA0/05	N/A	FTA-D4	FTA-D4-?	0/2
25	A2	PMA2/Ch02	0	HVA0/05	N/A	FTA-D4	FTA-D4-?	0/2
26	A2	PMA2/Ch03	0	HVA0/05	N/A	FTA-D4	FTA-D4-?	0/2
27	A2	PMA2/Ch04	0	HVA0/05	N/A	FTA-D4	FTA-D4-?	0/2
28	A2	PMA2/Ch05	0	HVA0/10	N/A	FTA-E4	FTA-E4-?	0/2
29	A2	PMA2/Ch06	0	HVA0/10	N/A	FTA-E4	FTA-E4-?	0/2
30	A2	PMA2/Ch07	0	HVA0/10	N/A	FTA-E4	FTA-E4-?	0/2
31	A2	PMA2/Ch08	0	HVA0/10	N/A	FTA-E4	FTA-E4-?	0/2
32	A2	PMA2/Ch09	0	HVA0/11	N/A	FTA-E5	FTA-E5-?	0/2
33	A2	PMA2/Ch10	0	HVA0/11	N/A	FTA-E5	FTA-E5-?	0/2
34	A2	PMA2/Ch11	0	HVA0/11	N/A	FTA-E5	FTA-E5-?	0/2
35	A2	PMA2/Ch12	0	HVA0/11	N/A	FTA-E5	FTA-E5-?	0/2
36	A3	PMA3/Ch01	0	HVA0/00	N/A	FTA-C4	FTA-C4-?	0/3
37	A3	PMA3/Ch02	0	HVA0/00	N/A	FTA-C4	FTA-C4-?	0/3
38	A3	PMA3/Ch03	0	HVA0/00	N/A	FTA-C4	FTA-C4-?	0/3
39	A3	PMA3/Ch04	0	HVA0/00	N/A	FTA-C4	FTA-C4-?	0/3
40	A3	PMA3/Ch05	0	HVA0/06	N/A	FTA-D5	FTA-D5-?	0/3
41	A3	PMA3/Ch06	0	HVA0/06	N/A	FTA-D5	FTA-D5-?	0/3
42	A3	PMA3/Ch07	0	HVA0/06	N/A	FTA-D5	FTA-D5-?	0/3
43	A3	PMA3/Ch08	0	HVA0/06	N/A	FTA-D5	FTA-D5-?	0/3
44	A3	PMA3/Ch09	0	HVA0/01	N/A	FTA-C5	FTA-C5-?	0/3
45	A3	PMA3/Ch10	0	HVA0/01	N/A	FTA-C5	FTA-C5-?	0/3
46	A3	PMA3/Ch11	0	HVA0/01	N/A	FTA-C5	FTA-C5-?	0/3
47	A3	PMA3/Ch12	0	HVA0/01	N/A	FTA-C5	FTA-C5-?	0/3
48	A4	PMA4/Ch01	1	HVA1/08	N/A	FTA-B4	FTA-B4-?	0/4
49	A4	PMA4/Ch02	1	HVA1/08	N/A	FTA-B4	FTA-B4-?	0/4
50	A4	PMA4/Ch03	1	HVA1/08	N/A	FTA-B4	FTA-B4-?	0/4
51	A4	PMA4/Ch04	1	HVA1/08	N/A	FTA-B4	FTA-B4-?	0/4
52	A4	PMA4/Ch05	1	HVA1/09	N/A	FTA-B5	FTA-B5-?	0/4
53	A4	PMA4/Ch06	1	HVA1/09	N/A	FTA-B5	FTA-B5-?	0/4
54	A4	PMA4/Ch07	1	HVA1/09	N/A	FTA-B5	FTA-B5-?	0/4
55	A4	PMA4/Ch08	1	HVA1/09	N/A	FTA-B5	FTA-B5-?	0/4
56	A4	PMA4/Ch09	1	HVA1/04	N/A	FTA-A5	FTA-A5-?	0/4
57	A4	PMA4/Ch10	1	HVA1/04	N/A	FTA-A5	FTA-A5-?	0/4
58	A4	PMA4/Ch11	1	HVA1/04	N/A	FTA-A5	FTA-A5-?	0/4
59	A4	PMA4/Ch12	1	HVA1/04	N/A	FTA-A5	FTA-A5-?	0/4
60	A5	PMA5/Ch01	1	HVA1/07	N/A	FTA-B3	FTA-B3-?	0/5
61	A5	PMA5/Ch02	1	HVA1/07	N/A	FTA-B3	FTA-B3-?	0/5
62	A5	PMA5/Ch03	1	HVA1/07	N/A	FTA-B3	FTA-B3-?	0/5
63	A5	PMA5/Ch04	1	HVA1/07	N/A	FTA-B3	FTA-B3-?	0/5
64	A5	PMA5/Ch05	1	HVA1/03	N/A	FTA-A4	FTA-A4-?	0/5
65	A5	PMA5/Ch06	1	HVA1/03	N/A	FTA-A4	FTA-A4-?	0/5
66	A5	PMA5/Ch07	1	HVA1/03	N/A	FTA-A4	FTA-A4-?	0/5
67	A5	PMA5/Ch08	1	HVA1/03	N/A	FTA-A4	FTA-A4-?	0/5
68	A5	PMA5/Ch09	1	HVA1/02	N/A	FTA-A3	FTA-A3-?	0/5
69	A5	PMA5/Ch10	1	HVA1/02	N/A	FTA-A3	FTA-A3-?	0/5
70	A5	PMA5/Ch11	1	HVA1/02	N/A	FTA-A3	FTA-A3-?	0/5
71	A5	PMA5/Ch12	1	HVA1/02	N/A	FTA-A3	FTA-A3-?	0/5
72	A6	PMA6/Ch01	1	HVA1/06	N/A	FTA-B2	FTA-B2-?	0/6
73	A6	PMA6/Ch02	1	HVA1/06	N/A	FTA-B2	FTA-B2-?	0/6
74	A6	PMA6/Ch03	1	HVA1/06	N/A	FTA-B2	FTA-B2-?	0/6
75	A6	PMA6/Ch04	1	HVA1/06	N/A	FTA-B2	FTA-B2-?	0/6
76	A6	PMA6/Ch05	1	HVA1/01	N/A	FTA-A2	FTA-A2-?	0/6
77	A6	PMA6/Ch06	1	HVA1/01	N/A	FTA-A2	FTA-A2-?	0/6
78	A6	PMA6/Ch07	1	HVA1/01	N/A	FTA-A2	FTA-A2-?	0/6
79	A6	PMA6/Ch08	1	HVA1/01	N/A	FTA-A2	FTA-A2-?	0/6
80	A6	PMA6/Ch09	1	HVA1/00	N/A	FTA-A1	FTA-A1-?	0/6
81	A6	PMA6/Ch10	1	HVA1/00	N/A	FTA-A1	FTA-A1-?	0/6
82	A6	PMA6/Ch11	1	HVA1/00	N/A	FTA-A1	FTA-A1-?	0/6
83	A6	PMA6/Ch12	1	HVA1/00	N/A	FTA-A1	FTA-A1-?	0/6
84	A7	PMA7/Ch01	1	HVA1/11	N/A	FTA-C2	FTA-C2-?	0/7
85	A7	PMA7/Ch02	1	HVA1/11	N/A	FTA-C2	FTA-C2-?	0/7
86	A7	PMA7/Ch03	1	HVA1/11	N/A	FTA-C2	FTA-C2-?	0/7
87	A7	PMA7/Ch04	1	HVA1/11	N/A	FTA-C2	FTA-C2-?	0/7
88	A7	PMA7/Ch05	1	HVA1/05	N/A	FTA-B1	FTA-B1-?	0/7
89	A7	PMA7/Ch06	1	HVA1/05	N/A	FTA-B1	FTA-B1-?	0/7
90	A7	PMA7/Ch07	1	HVA1/05	N/A	FTA-B1	FTA-B1-?	0/7
91	A7	PMA7/Ch08	1	HVA1/05	N/A	FTA-B1	FTA-B1-?	0/7
92	A7	PMA7/Ch09	1	HVA1/10	N/A	FTA-C1	FTA-C1-?	0/7
93	A7	PMA7/Ch10	1	HVA1/10	N/A	FTA-C1	FTA-C1-?	0/7
94	A7	PMA7/Ch11	1	HVA1/10	N/A	FTA-C1	FTA-C1-?	0/7
95	A7	PMA7/Ch12	1	HVA1/10	N/A	FTA-C1	FTA-C1-?	0/7
96	C0	PMC0/Ch01	2	HVC2/03	2119	FTC-B3	FTC-B3-2	1/0
97	C0	PMC0/Ch02	2	HVC2/03	2119	FTC-B3	FTC-B3-1	1/0
98	C0	PMC0/Ch03	2	HVC2/03	2119	FTC-B3	FTC-B3-3	1/0
99	C0	PMC0/Ch04	2	HVC2/03	2119	FTC-B3	FTC-B3-4	1/0
100	C0	PMC0/Ch05	2	HVC2/01	2147	FTC-A3	FTC-A3-2	1/0
101	C0	PMC0/Ch06	2	HVC2/01	2147	FTC-A3	FTC-A3-1	1/0
102	C0	PMC0/Ch07	2	HVC2/01	2147	FTC-A3	FTC-A3-3	1/0
103	C0	PMC0/Ch08	2	HVC2/01	2147	FTC-A3	FTC-A3-4	1/0
104	C0	PMC0/Ch09	2	HVC2/00	2129	FTC-A2	FTC-A2-2	1/0
105	C0	PMC0/Ch10	2	HVC2/00	2129	FTC-A2	FTC-A2-1	1/0
106	C0	PMC0/Ch11	2	HVC2/00	2129	FTC-A2	FTC-A2-3	1/0
107	C0	PMC0/Ch12	2	HVC2/00	2129	FTC-A2	FTC-A2-4	1/0
108	C1	PMC1/Ch01	2	HVC2/05	2123	FTC-C2	FTC-C2-1	1/1
109	C1	PMC1/Ch02	2	HVC2/05	2123	FTC-C2	FTC-C2-2	1/1
110	C1	PMC1/Ch03	2	HVC2/05	2123	FTC-C2	FTC-C2-4	1/1
111	C1	PMC1/Ch04	2	HVC2/05	2123	FTC-C2	FTC-C2-3	1/1
112	C1	PMC1/Ch05	2	HVC2/04	2127	FTC-C1	FTC-C1-1	1/1
113	C1	PMC1/Ch06	2	HVC2/04	2127	FTC-C1	FTC-C1-2	1/1
114	C1	PMC1/Ch07	2	HVC2/04	2127	FTC-C1	FTC-C1-4	1/1
115	C1	PMC1/Ch08	2	HVC2/04	2127	FTC-C1	FTC-C1-3	1/1
116	C1	PMC1/Ch09	2	HVC2/02	2118	FTC-B1	FTC-B1-2	1/1
117	C1	PMC1/Ch10	2	HVC2/02	2118	FTC-B1	FTC-B1-3	1/1
118	C1	PMC1/Ch11	2	HVC2/02	2118	FTC-B1	FTC-B1-1	1/1
119	C1	PMC1/Ch12	2	HVC2/02	2118	FTC-B1	FTC-B1-4	1/1
120	C2	PMC2/Ch01	2	HVC2/07	2128	FTC-D2	FTC-D2-4	1/2
121	C2	PMC2/Ch02	2	HVC2/07	2128	FTC-D2	FTC-D2-3	1/2
122	C2	PMC2/Ch03	2	HVC2/07	2128	FTC-D2	FTC-D2-1	1/2
123	C2	PMC2/Ch04	2	HVC2/07	2128	FTC-D2	FTC-D2-2	1/2
124	C2	PMC2/Ch05	2	HVC2/06	2145	FTC-D1	FTC-D1-4	1/2
125	C2	PMC2/Ch06	2	HVC2/06	2145	FTC-D1	FTC-D1-3	1/2
126	C2	PMC2/Ch07	2	HVC2/06	2145	FTC-D1	FTC-D1-1	1/2
127	C2	PMC2/Ch08	2	HVC2/06	2145	FTC-D1	FTC-D1-2	1/2
128	C2	PMC2/Ch09	2	HVC2/08	2125	FTC-E1	FTC-E1-2	1/2
129	C2	PMC2/Ch10	2	HVC2/08	2125	FTC-E1	FTC-E1-1	1/2
130	C2	PMC2/Ch11	2	HVC2/08	2125	FTC-E1	FTC-E1-3	1/2
131	C2	PMC2/Ch12	2	HVC2/08	2125	FTC-E1	FTC-E1-4	1/2
132	C3	PMC3/Ch01	2	HVC2/09	2130	FTC-E3	FTC-E3-1	1/3
133	C3	PMC3/Ch02	2	HVC2/09	2130	FTC-E3	FTC-E3-2	1/3
134	C3	PMC3/Ch03	2	HVC2/09	2130	FTC-E3	FTC-E3-4	1/3
135	C3	PMC3/Ch04	2	HVC2/09	2130	FTC-E3	FTC-E3-3	1/3
136	C3	PMC3/Ch05	2	HVC2/11	2149	FTC-F3	FTC-F3-1	1/3
137	C3	PMC3/Ch06	2	HVC2/11	2149	FTC-F3	FTC-F3-2	1/3
138	C3	PMC3/Ch07	2	HVC2/11	2149	FTC-F3	FTC-F3-4	1/3
139	C3	PMC3/Ch08	2	HVC2/11	2149	FTC-F3	FTC-F3-3	1/3
140	C3	PMC3/Ch09	2	HVC2/10	2134	FTC-F2	FTC-F2-1	1/3
141	C3	PMC3/Ch10	2	HVC2/10	2134	FTC-F2	FTC-F2-2	1/3
142	C3	PMC3/Ch11	2	HVC2/10	2134	FTC-F2	FTC-F2-4	1/3
143	C3	PMC3/Ch12	2	HVC2/10	2134	FTC-F2	FTC-F2-3	1/3
144	C4	PMC4/Ch01	3	HVC3/08	2137	FTC-E4	FTC-E4-2	1/4
145	C4	PMC4/Ch02	3	HVC3/08	2137	FTC-E4	FTC-E4-1	1/4
146	C4	PMC4/Ch03	3	HVC3/08	2137	FTC-E4	FTC-E4-3	1/4
147	C4	PMC4/Ch04	3	HVC3/08	2137	FTC-E4	FTC-E4-4	1/4
148	C4	PMC4/Ch05	3	HVC3/10	2152	FTC-F4	FTC-F4-2	1/4
149	C4	PMC4/Ch06	3	HVC3/10	2152	FTC-F4	FTC-F4-1	1/4
150	C4	PMC4/Ch07	3	HVC3/10	2152	FTC-F4	FTC-F4-3	1/4
151	C4	PMC4/Ch08	3	HVC3/10	2152	FTC-F4	FTC-F4-4	1/4
152	C4	PMC4/Ch09	3	HVC3/11	2142	FTC-F5	FTC-F5-2	1/4
153	C4	PMC4/Ch10	3	HVC3/11	2142	FTC-F5	FTC-F5-1	1/4
154	C4	PMC4/Ch11	3	HVC3/11	2142	FTC-F5	FTC-F5-3	1/4
155	C4	PMC4/Ch12	3	HVC3/11	2142	FTC-F5	FTC-F5-4	1/4
156	C5	PMC5/Ch01	3	HVC3/06	2157	FTC-D5	FTC-D5-1	1/5
157	C5	PMC5/Ch02	3	HVC3/06	2157	FTC-D5	FTC-D5-2	1/5
158	C5	PMC5/Ch03	3	HVC3/06	2157	FTC-D5	FTC-D5-4	1/5
159	C5	PMC5/Ch04	3	HVC3/06	2157	FTC-D5	FTC-D5-3	1/5
160	C5	PMC5/Ch05	3	HVC3/07	2167	FTC-D6	FTC-D6-1	1/5
161	C5	PMC5/Ch06	3	HVC3/07	2167	FTC-D6	FTC-D6-2	1/5
162	C5	PMC5/Ch07	3	HVC3/07	2167	FTC-D6	FTC-D6-4	1/5
163	C5	PMC5/Ch08	3	HVC3/07	2167	FTC-D6	FTC-D6-3	1/5
164	C5	PMC5/Ch09	3	HVC3/09	2165	FTC-E6	FTC-E6-2	1/5
165	C5	PMC5/Ch10	3	HVC3/09	2165	FTC-E6	FTC-E6-3	1/5
166	C5	PMC5/Ch11	3	HVC3/09	2165	FTC-E6	FTC-E6-1	1/5
167	C5	PMC5/Ch12	3	HVC3/09	2165	FTC-E6	FTC-E6-4	1/5
168	C6	PMC6/Ch01	3	HVC3/04	2148	FTC-C5	FTC-C5-4	1/6
169	C6	PMC6/Ch02	3	HVC3/04	2148	FTC-C5	FTC-C5-3	1/6
