channel#	PM	PM_channel	HV_board	HV_channel	MCP_S/N	HV_cable	signal_cable	
0	A0	PMA0/Ch01	A-Out	HVAO/04	????	FTA-D2	FTA-D2-?	
1	A0	PMA0/Ch02	A-Out	HVAO/04	????	FTA-D2	FTA-D2-?	
2	A0	PMA0/Ch03	A-Out	HVAO/04	????	FTA-D2	FTA-D2-?	
3	A0	PMA0/Ch04	A-Out	HVAO/04	????	FTA-D2	FTA-D2-?	
4	A0	PMA0/Ch05	A-Out	HVAO/03	????	FTA-D1	FTA-D1-?	
5	A0	PMA0/Ch06	A-Out	HVAO/03	????	FTA-D1	FTA-D1-?	
6	A0	PMA0/Ch07	A-Out	HVAO/03	????	FTA-D1	FTA-D1-?	
7	A0	PMA0/Ch08	A-Out	HVAO/03	????	FTA-D1	FTA-D1-?	
8	A0	PMA0/Ch09	A-Out	HVAO/08	????	FTA-E1	FTA-E1-?	
9	A0	PMA0/Ch10	A-Out	HVAO/08	????	FTA-E1	FTA-E1-?	
10	A0	PMA0/Ch11	A-Out	HVAO/08	????	FTA-E1	FTA-E1-?	
11	A0	PMA0/Ch12	A-Out	HVAO/08	????	FTA-E1	FTA-E1-?	
12	A1	PMA1/Ch01	A-Out	HVAO/05	????	FTA-D3	FTA-D3-?	
13	A1	PMA1/Ch02	A-Out	HVAO/05	????	FTA-D3	FTA-D3-?	
14	A1	PMA1/Ch03	A-Out	HVAO/05	????	FTA-D3	FTA-D3-?	
15	A1	PMA1/Ch04	A-Out	HVAO/05	????	FTA-D3	FTA-D3-?	
16	A1	PMA1/Ch05	A-Out	HVAO/09	????	FTA-E2	FTA-E2-?	
17	A1	PMA1/Ch06	A-Out	HVAO/09	????	FTA-E2	FTA-E2-?	
18	A1	PMA1/Ch07	A-Out	HVAO/09	????	FTA-E2	FTA-E2-?	
19	A1	PMA1/Ch08	A-Out	HVAO/09	????	FTA-E2	FTA-E2-?	
20	A1	PMA1/Ch09	A-Out	HVAO/10	????	FTA-E3	FTA-E3-?	
21	A1	PMA1/Ch10	A-Out	HVAO/10	????	FTA-E3	FTA-E3-?	
22	A1	PMA1/Ch11	A-Out	HVAO/10	????	FTA-E3	FTA-E3-?	
23	A1	PMA1/Ch12	A-Out	HVAO/10	????	FTA-E3	FTA-E3-?	
24	A2	PMA2/Ch01	A-Out	HVAO/06	????	FTA-D4	FTA-D4-?	
25	A2	PMA2/Ch02	A-Out	HVAO/06	????	FTA-D4	FTA-D4-?	
26	A2	PMA2/Ch03	A-Out	HVAO/06	????	FTA-D4	FTA-D4-?	
27	A2	PMA2/Ch04	A-Out	HVAO/06	????	FTA-D4	FTA-D4-?	
28	A2	PMA2/Ch05	A-Out	HVAO/11	????	FTA-E4	FTA-E4-?	
29	A2	PMA2/Ch06	A-Out	HVAO/11	????	FTA-E4	FTA-E4-?	
30	A2	PMA2/Ch07	A-Out	HVAO/11	????	FTA-E4	FTA-E4-?	
31	A2	PMA2/Ch08	A-Out	HVAO/11	????	FTA-E4	FTA-E4-?	
32	A2	PMA2/Ch09	A-Out	HVAO/12	????	FTA-E5	FTA-E5-?	
33	A2	PMA2/Ch10	A-Out	HVAO/12	????	FTA-E5	FTA-E5-?	
34	A2	PMA2/Ch11	A-Out	HVAO/12	????	FTA-E5	FTA-E5-?	
35	A2	PMA2/Ch12	A-Out	HVAO/12	????	FTA-E5	FTA-E5-?	
36	A3	PMA3/Ch01	A-Out	HVAO/01	????	FTA-C4	FTA-C4-?	
37	A3	PMA3/Ch02	A-Out	HVAO/01	????	FTA-C4	FTA-C4-?	
38	A3	PMA3/Ch03	A-Out	HVAO/01	????	FTA-C4	FTA-C4-?	
39	A3	PMA3/Ch04	A-Out	HVAO/01	????	FTA-C4	FTA-C4-?	
40	A3	PMA3/Ch05	A-Out	HVAO/07	????	FTA-D5	FTA-D5-?	
41	A3	PMA3/Ch06	A-Out	HVAO/07	????	FTA-D5	FTA-D5-?	
42	A3	PMA3/Ch07	A-Out	HVAO/07	????	FTA-D5	FTA-D5-?	
43	A3	PMA3/Ch08	A-Out	HVAO/07	????	FTA-D5	FTA-D5-?	
44	A3	PMA3/Ch09	A-Out	HVAO/02	????	FTA-C5	FTA-C5-?	
45	A3	PMA3/Ch10	A-Out	HVAO/02	????	FTA-C5	FTA-C5-?	
46	A3	PMA3/Ch11	A-Out	HVAO/02	????	FTA-C5	FTA-C5-?	
47	A3	PMA3/Ch12	A-Out	HVAO/02	????	FTA-C5	FTA-C5-?	
48	A4	PMA4/Ch01	A-In	HVAI/09	????	FTA-B4	FTA-B4-?	
49	A4	PMA4/Ch02	A-In	HVAI/09	????	FTA-B4	FTA-B4-?	
50	A4	PMA4/Ch03	A-In	HVAI/09	????	FTA-B4	FTA-B4-?	
51	A4	PMA4/Ch04	A-In	HVAI/09	????	FTA-B4	FTA-B4-?	
52	A4	PMA4/Ch05	A-In	HVAI/10	????	FTA-B5	FTA-B5-?	
53	A4	PMA4/Ch06	A-In	HVAI/10	????	FTA-B5	FTA-B5-?	
54	A4	PMA4/Ch07	A-In	HVAI/10	????	FTA-B5	FTA-B5-?	
55	A4	PMA4/Ch08	A-In	HVAI/10	????	FTA-B5	FTA-B5-?	
56	A4	PMA4/Ch09	A-In	HVAI/05	????	FTA-A5	FTA-A5-?	
57	A4	PMA4/Ch10	A-In	HVAI/05	????	FTA-A5	FTA-A5-?	
58	A4	PMA4/Ch11	A-In	HVAI/05	????	FTA-A5	FTA-A5-?	
59	A4	PMA4/Ch12	A-In	HVAI/05	????	FTA-A5	FTA-A5-?	
60	A5	PMA5/Ch01	A-In	HVAI/08	????	FTA-B3	FTA-B3-?	
61	A5	PMA5/Ch02	A-In	HVAI/08	????	FTA-B3	FTA-B3-?	
62	A5	PMA5/Ch03	A-In	HVAI/08	????	FTA-B3	FTA-B3-?	
63	A5	PMA5/Ch04	A-In	HVAI/08	????	FTA-B3	FTA-B3-?	
64	A5	PMA5/Ch05	A-In	HVAI/04	????	FTA-A4	FTA-A4-?	
65	A5	PMA5/Ch06	A-In	HVAI/04	????	FTA-A4	FTA-A4-?	
66	A5	PMA5/Ch07	A-In	HVAI/04	????	FTA-A4	FTA-A4-?	
67	A5	PMA5/Ch08	A-In	HVAI/04	????	FTA-A4	FTA-A4-?	
68	A5	PMA5/Ch09	A-In	HVAI/03	????	FTA-A3	FTA-A3-?	
69	A5	PMA5/Ch10	A-In	HVAI/03	????	FTA-A3	FTA-A3-?	
70	A5	PMA5/Ch11	A-In	HVAI/03	????	FTA-A3	FTA-A3-?	
71	A5	PMA5/Ch12	A-In	HVAI/03	????	FTA-A3	FTA-A3-?	
72	A6	PMA6/Ch01	A-In	HVAI/07	????	FTA-B2	FTA-B2-?	
73	A6	PMA6/Ch02	A-In	HVAI/07	????	FTA-B2	FTA-B2-?	
74	A6	PMA6/Ch03	A-In	HVAI/07	????	FTA-B2	FTA-B2-?	
