LinkID,EndPointID,CRUID,FEEID,ModuleType,LocalChannelID,channel #,EndPoint/Link,Module,PM channel,HV board,HV channel,MCP S/N,HV cable,signal cable
0,0,0,0,PM,1,0,0/0,PMA0,PMA0/Ch01,0,HVA0/03,2186,FTA-D2,FTA-D2-1
0,0,0,0,PM,2,1,0/0,PMA0,PMA0/Ch02,0,HVA0/03,2186,FTA-D2,FTA-D2-4
0,0,0,0,PM,3,2,0/0,PMA0,PMA0/Ch03,0,HVA0/03,2186,FTA-D2,FTA-D2-2
0,0,0,0,PM,4,3,0/0,PMA0,PMA0/Ch04,0,HVA0/03,2186,FTA-D2,FTA-D2-3
0,0,0,0,PM,5,4,0/0,PMA0,PMA0/Ch05,0,HVA0/02,2117,FTA-D1,FTA-D1-3
0,0,0,0,PM,6,5,0/0,PMA0,PMA0/Ch06,0,HVA0/02,2117,FTA-D1,FTA-D1-2
0,0,0,0,PM,7,6,0/0,PMA0,PMA0/Ch07,0,HVA0/02,2117,FTA-D1,FTA-D1-4
0,0,0,0,PM,8,7,0/0,PMA0,PMA0/Ch08,0,HVA0/02,2117,FTA-D1,FTA-D1-1
0,0,0,0,PM,9,8,0/0,PMA0,PMA0/Ch09,0,HVA0/07,2170,FTA-E1,FTA-E1-1
0,0,0,0,PM,10,9,0/0,PMA0,PMA0/Ch10,0,HVA0/07,2170,FTA-E1,FTA-E1-4
0,0,0,0,PM,11,10,0/0,PMA0,PMA0/Ch11,0,HVA0/07,2170,FTA-E1,FTA-E1-2
0,0,0,0,PM,12,11,0/0,PMA0,PMA0/Ch12,0,HVA0/07,2170,FTA-E1,FTA-E1-3
1,0,0,1,PM,1,12,0/1,PMA1,PMA1/Ch01,0,HVA0/04,2184,FTA-D3,FTA-D3-1
1,0,0,1,PM,2,13,0/1,PMA1,PMA1/Ch02,0,HVA0/04,2184,FTA-D3,FTA-D3-2
1,0,0,1,PM,3,14,0/1,PMA1,PMA1/Ch03,0,HVA0/04,2184,FTA-D3,FTA-D3-4
1,0,0,1,PM,4,15,0/1,PMA1,PMA1/Ch04,0,HVA0/04,2184,FTA-D3,FTA-D3-3
1,0,0,1,PM,5,16,0/1,PMA1,PMA1/Ch05,0,HVA0/08,2154,FTA-E2,FTA-E2-4
1,0,0,1,PM,6,17,0/1,PMA1,PMA1/Ch06,0,HVA0/08,2154,FTA-E2,FTA-E2-1
1,0,0,1,PM,7,18,0/1,PMA1,PMA1/Ch07,0,HVA0/08,2154,FTA-E2,FTA-E2-3
1,0,0,1,PM,8,19,0/1,PMA1,PMA1/Ch08,0,HVA0/08,2154,FTA-E2,FTA-E2-2
1,0,0,1,PM,9,20,0/1,PMA1,PMA1/Ch09,0,HVA0/09,2124,FTA-E3,FTA-E3-1
1,0,0,1,PM,10,21,0/1,PMA1,PMA1/Ch10,0,HVA0/09,2124,FTA-E3,FTA-E3-2
1,0,0,1,PM,11,22,0/1,PMA1,PMA1/Ch11,0,HVA0/09,2124,FTA-E3,FTA-E3-4
1,0,0,1,PM,12,23,0/1,PMA1,PMA1/Ch12,0,HVA0/09,2124,FTA-E3,FTA-E3-3
2,0,0,2,PM,1,24,0/2,PMA2,PMA2/Ch01,0,HVA0/05,2164,FTA-D4,FTA-D4-1
2,0,0,2,PM,2,25,0/2,PMA2,PMA2/Ch02,0,HVA0/05,2164,FTA-D4,FTA-D4-4
2,0,0,2,PM,3,26,0/2,PMA2,PMA2/Ch03,0,HVA0/05,2164,FTA-D4,FTA-D4-2
2,0,0,2,PM,4,27,0/2,PMA2,PMA2/Ch04,0,HVA0/05,2164,FTA-D4,FTA-D4-3
2,0,0,2,PM,5,28,0/2,PMA2,PMA2/Ch05,0,HVA0/10,2135,FTA-E4,FTA-E4-2
2,0,0,2,PM,6,29,0/2,PMA2,PMA2/Ch06,0,HVA0/10,2135,FTA-E4,FTA-E4-1
2,0,0,2,PM,7,30,0/2,PMA2,PMA2/Ch07,0,HVA0/10,2135,FTA-E4,FTA-E4-3
2,0,0,2,PM,8,31,0/2,PMA2,PMA2/Ch08,0,HVA0/10,2135,FTA-E4,FTA-E4-4
2,0,0,2,PM,9,32,0/2,PMA2,PMA2/Ch09,0,HVA0/11,2160,FTA-E5,FTA-E5-1
2,0,0,2,PM,10,33,0/2,PMA2,PMA2/Ch10,0,HVA0/11,2160,FTA-E5,FTA-E5-4
2,0,0,2,PM,11,34,0/2,PMA2,PMA2/Ch11,0,HVA0/11,2160,FTA-E5,FTA-E5-2
2,0,0,2,PM,12,35,0/2,PMA2,PMA2/Ch12,0,HVA0/11,2160,FTA-E5,FTA-E5-3
3,0,0,3,PM,1,36,0/3,PMA3,PMA3/Ch01,0,HVA0/00,2132,FTA-C4,FTA-C4-1
3,0,0,3,PM,2,37,0/3,PMA3,PMA3/Ch02,0,HVA0/00,2132,FTA-C4,FTA-C4-2
3,0,0,3,PM,3,38,0/3,PMA3,PMA3/Ch03,0,HVA0/00,2132,FTA-C4,FTA-C4-4
3,0,0,3,PM,4,39,0/3,PMA3,PMA3/Ch04,0,HVA0/00,2132,FTA-C4,FTA-C4-3
3,0,0,3,PM,5,40,0/3,PMA3,PMA3/Ch05,0,HVA0/06,2171,FTA-D5,FTA-D5-3
3,0,0,3,PM,6,41,0/3,PMA3,PMA3/Ch06,0,HVA0/06,2171,FTA-D5,FTA-D5-4
3,0,0,3,PM,7,42,0/3,PMA3,PMA3/Ch07,0,HVA0/06,2171,FTA-D5,FTA-D5-2
3,0,0,3,PM,8,43,0/3,PMA3,PMA3/Ch08,0,HVA0/06,2171,FTA-D5,FTA-D5-1
3,0,0,3,PM,9,44,0/3,PMA3,PMA3/Ch09,0,HVA0/01,2153,FTA-C5,FTA-C5-3
3,0,0,3,PM,10,45,0/3,PMA3,PMA3/Ch10,0,HVA0/01,2153,FTA-C5,FTA-C5-4
3,0,0,3,PM,11,46,0/3,PMA3,PMA3/Ch11,0,HVA0/01,2153,FTA-C5,FTA-C5-2
3,0,0,3,PM,12,47,0/3,PMA3,PMA3/Ch12,0,HVA0/01,2153,FTA-C5,FTA-C5-1
4,0,0,4,PM,1,48,0/4,PMA4,PMA4/Ch01,1,HVA1/08,2183,FTA-B4,FTA-B4-1
4,0,0,4,PM,2,49,0/4,PMA4,PMA4/Ch02,1,HVA1/08,2183,FTA-B4,FTA-B4-4
4,0,0,4,PM,3,50,0/4,PMA4,PMA4/Ch03,1,HVA1/08,2183,FTA-B4,FTA-B4-2
4,0,0,4,PM,4,51,0/4,PMA4,PMA4/Ch04,1,HVA1/08,2183,FTA-B4,FTA-B4-3
4,0,0,4,PM,5,52,0/4,PMA4,PMA4/Ch05,1,HVA1/09,2176,FTA-B5,FTA-B5-1
4,0,0,4,PM,6,53,0/4,PMA4,PMA4/Ch06,1,HVA1/09,2176,FTA-B5,FTA-B5-4
4,0,0,4,PM,7,54,0/4,PMA4,PMA4/Ch07,1,HVA1/09,2176,FTA-B5,FTA-B5-2
4,0,0,4,PM,8,55,0/4,PMA4,PMA4/Ch08,1,HVA1/09,2176,FTA-B5,FTA-B5-3
4,0,0,4,PM,9,56,0/4,PMA4,PMA4/Ch09,1,HVA1/04,2169,FTA-A5,FTA-A5-3
4,0,0,4,PM,10,57,0/4,PMA4,PMA4/Ch10,1,HVA1/04,2169,FTA-A5,FTA-A5-2
4,0,0,4,PM,11,58,0/4,PMA4,PMA4/Ch11,1,HVA1/04,2169,FTA-A5,FTA-A5-4
4,0,0,4,PM,12,59,0/4,PMA4,PMA4/Ch12,1,HVA1/04,2169,FTA-A5,FTA-A5-1
5,0,0,5,PM,1,60,0/5,PMA5,PMA5/Ch01,1,HVA1/07,2180,FTA-B3,FTA-B3-3
5,0,0,5,PM,2,61,0/5,PMA5,PMA5/Ch02,1,HVA1/07,2180,FTA-B3,FTA-B3-4
5,0,0,5,PM,3,62,0/5,PMA5,PMA5/Ch03,1,HVA1/07,2180,FTA-B3,FTA-B3-2
5,0,0,5,PM,4,63,0/5,PMA5,PMA5/Ch04,1,HVA1/07,2180,FTA-B3,FTA-B3-1
5,0,0,5,PM,5,64,0/5,PMA5,PMA5/Ch05,1,HVA1/03,2179,FTA-A4,FTA-A4-1
5,0,0,5,PM,6,65,0/5,PMA5,PMA5/Ch06,1,HVA1/03,2179,FTA-A4,FTA-A4-2
5,0,0,5,PM,7,66,0/5,PMA5,PMA5/Ch07,1,HVA1/03,2179,FTA-A4,FTA-A4-4
5,0,0,5,PM,8,67,0/5,PMA5,PMA5/Ch08,1,HVA1/03,2179,FTA-A4,FTA-A4-3
5,0,0,5,PM,9,68,0/5,PMA5,PMA5/Ch09,1,HVA1/02,2174,FTA-A3,FTA-A3-1
5,0,0,5,PM,10,69,0/5,PMA5,PMA5/Ch10,1,HVA1/02,2174,FTA-A3,FTA-A3-2
5,0,0,5,PM,11,70,0/5,PMA5,PMA5/Ch11,1,HVA1/02,2174,FTA-A3,FTA-A3-4
5,0,0,5,PM,12,71,0/5,PMA5,PMA5/Ch12,1,HVA1/02,2174,FTA-A3,FTA-A3-3
6,0,0,6,PM,1,72,0/6,PMA6,PMA6/Ch01,1,HVA1/06,2185,FTA-B2,FTA-B2-1
6,0,0,6,PM,2,73,0/6,PMA6,PMA6/Ch02,1,HVA1/06,2185,FTA-B2,FTA-B2-4
6,0,0,6,PM,3,74,0/6,PMA6,PMA6/Ch03,1,HVA1/06,2185,FTA-B2,FTA-B2-2
6,0,0,6,PM,4,75,0/6,PMA6,PMA6/Ch04,1,HVA1/06,2185,FTA-B2,FTA-B2-3
6,0,0,6,PM,5,76,0/6,PMA6,PMA6/Ch05,1,HVA1/01,2181,FTA-A2,FTA-A2-1
6,0,0,6,PM,6,77,0/6,PMA6,PMA6/Ch06,1,HVA1/01,2181,FTA-A2,FTA-A2-4
6,0,0,6,PM,7,78,0/6,PMA6,PMA6/Ch07,1,HVA1/01,2181,FTA-A2,FTA-A2-2
6,0,0,6,PM,8,79,0/6,PMA6,PMA6/Ch08,1,HVA1/01,2181,FTA-A2,FTA-A2-3
6,0,0,6,PM,9,80,0/6,PMA6,PMA6/Ch09,1,HVA1/00,2173,FTA-A1,FTA-A1-1
6,0,0,6,PM,10,81,0/6,PMA6,PMA6/Ch10,1,HVA1/00,2173,FTA-A1,FTA-A1-4
6,0,0,6,PM,11,82,0/6,PMA6,PMA6/Ch11,1,HVA1/00,2173,FTA-A1,FTA-A1-2
6,0,0,6,PM,12,83,0/6,PMA6,PMA6/Ch12,1,HVA1/00,2173,FTA-A1,FTA-A1-3
7,0,0,7,PM,1,84,0/7,PMA7,PMA7/Ch01,1,HVA1/11,2163,FTA-C2,FTA-C2-4
7,0,0,7,PM,2,85,0/7,PMA7,PMA7/Ch02,1,HVA1/11,2163,FTA-C2,FTA-C2-1
7,0,0,7,PM,3,86,0/7,PMA7,PMA7/Ch03,1,HVA1/11,2163,FTA-C2,FTA-C2-3
7,0,0,7,PM,4,87,0/7,PMA7,PMA7/Ch04,1,HVA1/11,2163,FTA-C2,FTA-C2-2
7,0,0,7,PM,5,88,0/7,PMA7,PMA7/Ch05,1,HVA1/05,2182,FTA-B1,FTA-B1-4
7,0,0,7,PM,6,89,0/7,PMA7,PMA7/Ch06,1,HVA1/05,2182,FTA-B1,FTA-B1-1
7,0,0,7,PM,7,90,0/7,PMA7,PMA7/Ch07,1,HVA1/05,2182,FTA-B1,FTA-B1-3
