# Optical properties of quartz Spectrasil2000 & QE of MCP-PMT XP85012
# Number of elements: 
354
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex   QuantumEfficiency
            2.38882                  5874.7           1.46133           0.0966295
            2.39344                  6160.3           1.46138           0.0998724
            2.39807                 6100.82           1.46144            0.103128
            2.40271                 6043.85           1.46149            0.106396
            2.40738                 5584.07           1.46154            0.109677
            2.41206                 5230.66           1.46159             0.11218
            2.41676                 5150.21           1.46164            0.114692
            2.42148                  5486.7           1.46169            0.117215
            2.42622                 6018.45           1.46175            0.119747
            2.43098                 5334.08            1.4618             0.12229
            2.43576                 4945.97           1.46185            0.123772
            2.44055                 4938.44            1.4619             0.12526
            2.44536                 5076.67           1.46196            0.126754
             2.4502                  4888.5           1.46201            0.128254
            2.45505                 4509.28           1.46206             0.12976
            2.45992                 4692.47           1.46212            0.130429
            2.46481                 4902.71           1.46217              0.1311
            2.46972                 4767.89           1.46223            0.131774
            2.47465                 4860.02           1.46228            0.132451
             2.4796                 4860.22           1.46233             0.13313
            2.48457                 4842.79           1.46239            0.133825
            2.48956                 5264.15           1.46244            0.134521
            2.49457                 5457.33            1.4625            0.135221
             2.4996                 5138.56           1.46255            0.135924
            2.50465                 4850.35           1.46261            0.136629
            2.50972                 4712.94           1.46267             0.13674
            2.51481                 4533.44           1.46272            0.136851
            2.51992                 4522.65           1.46278            0.136963
            2.52505                 4870.09           1.46284            0.137075
             2.5302                 5018.23           1.46289            0.137188
            2.53538                 4967.84           1.46295            0.137946
            2.54057                 5081.86           1.46301            0.138708
            2.54579                 4896.89           1.46308            0.139472
            2.55103                 5035.75           1.46314             0.14024
            2.55629                 4823.14            1.4632            0.141011
            2.56157                 5600.66           1.46326            0.143063
            2.56687                 6008.92           1.46332            0.145124
             2.5722                 6060.05           1.46339            0.147193
            2.57755                 6381.85           1.46345            0.149271
            2.58292                 6865.87           1.46351            0.151357
            2.58831                 6959.87           1.46358            0.152411
            2.59372                 7010.76           1.46364            0.153469
            2.59916                 7078.14           1.46371            0.154532
            2.60462                 7304.25           1.46377            0.155599
            2.61011                 7093.41           1.46383             0.15667
            2.61561                 6934.71            1.4639            0.158349
            2.62114                 6769.26           1.46396            0.160034
            2.62669                 6637.03           1.46403            0.161727
            2.63227                  7790.4            1.4641            0.163427
            2.63787                  6967.7           1.46416            0.165135
             2.6435                 7336.66           1.46423            0.165215
            2.64915                 7168.11            1.4643            0.165296
            2.65482                 6766.29           1.46436            0.165377
            2.66052                 6934.87           1.46443            0.165458
            2.66624                 7055.96            1.4645             0.16554
            2.67198                 7782.03           1.46456            0.168134
            2.67775                 7346.41           1.46463            0.170739
            2.68355                 7847.76            1.4647            0.173355
            2.68937                 8341.04           1.46477            0.175983
            2.69522                 7745.01           1.46484            0.178622
            2.70109                 7177.32           1.46491            0.180839
            2.70699                 7488.85           1.46498            0.183065
            2.71291                 7990.88           1.46505              0.1853
            2.71886                 7955.46           1.46512            0.187546
            2.72484                 8104.51           1.46519            0.189801
            2.73084                 7602.15           1.46526            0.190908
            2.73687                  8572.2           1.46534             0.19202
            2.74292                 9542.06           1.46542            0.193137
              2.749                 8293.76            1.4655            0.194259
            2.75511                 8744.62           1.46557            0.195385
            2.76125                 8213.58           1.46565            0.197107
            2.76741                 9258.11           1.46573            0.198836
             2.7736                 8754.93           1.46581            0.200572
            2.77982                 8776.55           1.46589            0.202317
            2.78607                 8673.88           1.46597            0.204069
            2.79234                 9232.67           1.46605            0.205326
            2.79865                 8087.54           1.46613            0.206588
            2.80498                 9828.85           1.46621            0.207856
            2.81134                 11918.4           1.46629             0.20913
            2.81773                 9656.51           1.46637             0.21041
            2.82415                 9084.49           1.46646            0.210022
            2.83059                 9402.49           1.46654            0.209633
            2.83707                 10386.4           1.46662            0.209241
            2.84358                 11590.7            1.4667            0.208848
            2.85011                 11397.6           1.46679            0.208453
            2.85668                 8793.37           1.46687            0.209131
            2.86328                 11625.7           1.46696            0.209811
            2.86991                 10560.2           1.46704            0.210495
            2.87657                 11182.2           1.46713            0.211182
            2.88326                 10639.5           1.46721            0.211873
            2.88998                 11209.4            1.4673            0.213663
            2.89673                 10839.7           1.46738            0.215462
            2.90351                 10583.9           1.46747            0.217269
            2.91033                 11584.1           1.46756            0.219085
            2.91718                 12219.4           1.46764            0.220909
            2.92406                  9336.2           1.46773            0.221313
            2.93097                 9654.91           1.46782            0.221719
            2.93791                 11366.8           1.46791            0.222127
            2.94489                 11299.8             1.468            0.222537
             2.9519                 11385.7           1.46809            0.222949
            2.95895                  9915.4           1.46819            0.224175
            2.96603                 10685.8           1.46828            0.225406
            2.97314                   10674           1.46838            0.226644
            2.98029                   12964           1.46848            0.227887
            2.98747                 11843.6           1.46859            0.229137
            2.99469                   11543           1.46869            0.229239
            3.00194                 13338.8           1.46879            0.229342
            3.00922                 10463.9           1.46889            0.229446
            3.01655                 14787.8           1.46899             0.22955
             3.0239                 11856.7            1.4691            0.229654
             3.0313                 12075.4            1.4692            0.230149
            3.03873                   12705            1.4693            0.230646
            3.04619                 10609.6           1.46941            0.231146
            3.05369                 10013.2           1.46951            0.231649
            3.06123                 10626.4           1.46962            0.232153
            3.06881                 12890.3           1.46973            0.233597
            3.07643                 13581.1           1.46983            0.235049
            3.08408                 11229.7           1.46994            0.236507
            3.09177                 11472.1           1.47005            0.237973
             3.0995                 10195.6           1.47016            0.239446
            3.10727                 10548.6           1.47026            0.239794
            3.11508                 9966.17           1.47037            0.240144
            3.12292                 9673.65           1.47048            0.240496
            3.13081                   10448           1.47059            0.240849
            3.13873                 9235.51           1.47071            0.241205
             3.1467                 10901.9           1.47082            0.241242
            3.15471                 9225.32           1.47093            0.241279
            3.16276                 11731.5           1.47104            0.241317
            3.17084                 9566.08           1.47116            0.241355
            3.17897                 12271.8           1.47127            0.241393
            3.18715                 14356.1           1.47138             0.24078
            3.19536                 10715.1            1.4715            0.240164
            3.20362                 10488.9           1.47162            0.239545
            3.21192                   11085           1.47173            0.238923
            3.22026                 10754.4           1.47185            0.238297
            3.22865                 11265.8           1.47198            0.238017
            3.23708                 10101.9           1.47211            0.237736
            3.24555                 9025.44           1.47224            0.237453
            3.25407                 11559.7           1.47238            0.237168
            3.26263                 10259.3           1.47251            0.236882
            3.27124                 9857.02           1.47264            0.236787
            3.27989                 12999.2           1.47278            0.236691
            3.28859                 13345.5           1.47292            0.236595
            3.29734                 23646.7           1.47305            0.236498
            3.30613                 15601.3           1.47319            0.236401
            3.31497                 15518.7           1.47333            0.236576
            3.32386                 19566.8           1.47347            0.236752
             3.3328                 14939.7           1.47361            0.236929
            3.34178                 15236.9           1.47375            0.237106
            3.35081                   11883           1.47389            0.237285
            3.35989                 13499.1           1.47403            0.237076
            3.36902                 11113.4           1.47417            0.236867
             3.3782                 12880.7           1.47432            0.236656
            3.38743                 11690.4           1.47446            0.236444
            3.39671                 11697.1           1.47461            0.236231
            3.40604                 10168.6           1.47475            0.236046
            3.41543                 10994.1            1.4749             0.23586
            3.42486                 9144.58           1.47505            0.235673
            3.43435                  9802.3           1.47519            0.235485
            3.44389                 8845.76           1.47534            0.235296
            3.45348                 8441.16           1.47549            0.234754
            3.46313                 7968.34           1.47564            0.234209
            3.47283                 8982.26            1.4758            0.233661
            3.48258                 8789.07           1.47595             0.23311
            3.49239                 8059.54            1.4761            0.232556
            3.50226                 7160.54           1.47626            0.232441
            3.51218                 8608.07           1.47641            0.232326
            3.52216                  8334.9           1.47657             0.23221
            3.53219                 8199.58           1.47672            0.232093
            3.54229                 7473.83           1.47688            0.231976
            3.55244                 7992.58           1.47706            0.232028
            3.56264                 7598.74           1.47724            0.232081
            3.57291                 7569.08           1.47743            0.232134
            3.58324                 7586.28           1.47761            0.232188
            3.59362                 7994.28            1.4778            0.232241
            3.60407                 7676.33           1.47798            0.232159
            3.61458                 8582.41           1.47817            0.232076
            3.62515                 8527.88           1.47836            0.231993
            3.63578                 8731.97           1.47855            0.231909
            3.64647                 7097.15           1.47874            0.231825
            3.65723                 7442.32           1.47893            0.231847
            3.66805                 7232.72           1.47912             0.23187
            3.67893                 7802.04           1.47931            0.231893
            3.68988                 6815.36           1.47951            0.231916
             3.7009                 8112.69           1.47971            0.231939
            3.71198                 7976.21            1.4799            0.232056
            3.72312                 7518.95            1.4801            0.232174
            3.73434                 7129.07            1.4803            0.232292
            3.74562                 6605.36            1.4805            0.232412
            3.75697                 6938.29            1.4807            0.232532
            3.76839                 7343.29           1.48091            0.232449
            3.77988                  7465.4           1.48111            0.232366
            3.79144                 7620.21           1.48132            0.232282
            3.80307                 6652.65           1.48152            0.232198
            3.81477                  5868.5           1.48173            0.232114
            3.82654                 5987.61           1.48194            0.231788
            3.83839                 6544.72           1.48215             0.23146
            3.85031                 7304.02           1.48237             0.23113
            3.86231                 6785.85           1.48258            0.230798
            3.87437                 6568.61           1.48279            0.230463
            3.88652                 6541.39           1.48301            0.229834
            3.89874                 4918.77           1.48323            0.229201
            3.91104                 6681.45           1.48345            0.228564
            3.92342                 6168.32           1.48367            0.227922
            3.93587                 5868.57           1.48389            0.227277
            3.94841                 6118.12           1.48415            0.226647
            3.96102                 6149.43           1.48441            0.226014
            3.97372                 6258.03           1.48468            0.225376
             3.9865                 5824.66           1.48494            0.224734
            3.99935                 5797.65           1.48521            0.224088
             4.0123                 5594.66           1.48548            0.223465
            4.02532                 5747.69           1.48575            0.222838
            4.03844                 5789.42           1.48603            0.222206
            4.05163                 5818.49            1.4863            0.221571
            4.06492                 5543.46           1.48658            0.220931
            4.07829                 5211.72           1.48686            0.219714
            4.09175                 5046.62           1.48714            0.218488
             4.1053                 4957.41           1.48742            0.217255
            4.11894                 5128.48           1.48771            0.216013
            4.13267                 5187.96           1.48799            0.214764
            4.14649                 4927.56           1.48828            0.213563
             4.1604                 4821.81           1.48857            0.212355
            4.17441                 4891.24           1.48886            0.211139
            4.18851                 5177.64           1.48916            0.209914
            4.20271                  5124.2           1.48945            0.208681
            4.21701                 5151.36           1.48975            0.207758
             4.2314                 5236.82           1.49005            0.206829
            4.24589                 4869.67           1.49035            0.205894
            4.26048                 4871.71           1.49066            0.204952
            4.27517                 4666.08           1.49096            0.204003
            4.28997                 4383.56           1.49127            0.202881
            4.30486                 4203.12           1.49158            0.201751
            4.31986                 4402.24            1.4919            0.200613
            4.33497                  4587.1           1.49221            0.199468
            4.35018                 4471.17           1.49253            0.198314
            4.36549                 4267.72           1.49285            0.197222
            4.38092                 3992.98           1.49317            0.196122
            4.39645                 3874.69           1.49349            0.195014
             4.4121                 3779.49           1.49382            0.193898
            4.42786                 3675.45           1.49415            0.192774
            4.44373                 3602.88           1.49455             0.19185
            4.45971                 3671.33           1.49496             0.19092
            4.47581                 3876.48           1.49537            0.189982
            4.49203                 3613.91           1.49578            0.189038
            4.50836                  3411.4            1.4962            0.188087
            4.52482                 3493.46           1.49661            0.186929
            4.54139                 3400.96           1.49704            0.185763
            4.55809                 3248.27           1.49746            0.184588
            4.57491                 3104.18           1.49789            0.183405
            4.59185                  3007.9           1.49832            0.182212
            4.60892                 2914.21           1.49876            0.181477
            4.62612                 2870.88           1.49919            0.180735
            4.64345                 2941.63           1.49963            0.179989
             4.6609                 2910.71           1.50008            0.179236
            4.67849                 2728.11           1.50053            0.178478
            4.69621                 2603.23           1.50098            0.177884
            4.71407                 2627.66           1.50143            0.177285
            4.73206                 2577.68           1.50189            0.176682
            4.75019                 2442.49           1.50235            0.176074
            4.76846                 2408.94           1.50282            0.175461
            4.78687                 2386.65           1.50329            0.174629
            4.80543                    2334           1.50376            0.173789
            4.82412                 2278.74           1.50424            0.172944
            4.84297                 2217.99           1.50472            0.172091
            4.86196                 2134.06            1.5052            0.171232
             4.8811                 2097.74           1.50569            0.170733
             4.9004                 2097.77           1.50618             0.17023
            4.91984                  2055.2           1.50667            0.169723
            4.93944                 1992.34           1.50717            0.169212
             4.9592                  1951.1           1.50767            0.168697
            4.97912                 1923.29           1.50818            0.168375
            4.99919                 1923.66           1.50869            0.168051
            5.01943                 1908.47           1.50921            0.167725
            5.03984                 1850.26           1.50973            0.167395
            5.06041                 1785.48           1.51025            0.167063
            5.08115                 1756.03           1.51094            0.166787
            5.10206                 1709.54           1.51163            0.166509
            5.12314                 1640.42           1.51233            0.166228
             5.1444                 1615.88           1.51304            0.165945
            5.16583                 1594.34           1.51376             0.16566
            5.18745                 1520.19           1.51447            0.165735
            5.20924                 1486.17            1.5152             0.16581
            5.23122                 1476.55           1.51593            0.165886
            5.25339                 1450.24           1.51667            0.165962
            5.27574                 1403.36           1.51741            0.166039
            5.29829                 1358.23           1.51817             0.16609
            5.32103                  1357.9           1.51892            0.166142
            5.34397                 1321.94           1.51969            0.166194
             5.3671                  1279.2           1.52046            0.166247
            5.39043                 1264.16           1.52123              0.1663
            5.41397                 1233.16           1.52202            0.166164
            5.43772                  1202.8           1.52281            0.166027
            5.46167                 1167.21           1.52361            0.165889
            5.48584                 1136.48           1.52441             0.16575
            5.51022                 1111.15           1.52522            0.165609
            5.53482                 1078.99           1.52604            0.165417
            5.55964                 1055.39           1.52687            0.165223
            5.58468                 1028.72            1.5277            0.165027
            5.60995                 1001.34           1.52854             0.16483
            5.63545                 962.885           1.52939            0.164631
            5.66119                 939.395           1.53025            0.164954
            5.68716                 926.548           1.53111            0.165281
            5.71336                 904.427           1.53199             0.16561
            5.73981                 881.682           1.53287            0.165943
            5.76651                  848.42           1.53375            0.166278
            5.79346                 818.019           1.53465            0.167092
            5.82066                 788.519           1.53556            0.167914
            5.84811                 769.593           1.53647            0.168743
            5.87583                 747.919           1.53739            0.169581
            5.90381                 722.293           1.53833            0.170426
            5.93206                  704.71           1.53939            0.171972
            5.96058                 682.603           1.54048            0.173534
            5.98937                  653.73           1.54159             0.17511
            6.01845                 641.046           1.54272            0.176702
             6.0478                 617.682           1.54387            0.178309
            6.07745                 600.051           1.54504            0.180543
            6.10739                 580.477           1.54623            0.182799
            6.13762                 562.153           1.54744            0.185077
            6.16816                 545.291           1.54867            0.187379
              6.199                 529.478           1.54993            0.189703
            6.23015                 514.628           1.55121            0.192684
            6.26162                 513.434           1.55251            0.195696
             6.2934                 512.133           1.55384            0.198738
            6.32551                 511.447           1.55519            0.201811
            6.35795                  439.93           1.55656            0.204916
            6.39072                 428.416           1.55797            0.208053
            6.42383                 366.054           1.55939            0.211703
            6.45729                 353.782           1.56085            0.215597
             6.4911                 320.244           1.56233            0.219533
            6.52526                 307.814           1.56384             0.22351
            6.55979                 275.783           1.56537            0.227529
            6.59468                 262.084           1.56694            0.231591
            6.62995                 238.497           1.56854            0.233567
            6.66559                 213.698           1.57017            0.235325
            6.70162                 188.606           1.57182            0.237103
            6.73804                 165.035           1.57351              0.2389
            6.77486                 139.914           1.57524            0.240717
            6.81209                 119.153             1.577            0.241684
            6.84972                 96.5308           1.57879            0.240623
            6.88778                 76.5459           1.58061            0.239549
            6.92626                  56.442           1.58248            0.238464
            6.96517                 42.4659           1.58438            0.237367
            7.00452                 30.8679           1.58631            0.236257
            7.04432                 22.1757           1.58829            0.235135
            7.08457                 16.0269            1.5903               0.234
            7.12529                  11.435           1.59236            0.225402
            7.16647                 8.15213           1.59446            0.216705
            7.20814                 5.90063            1.5966            0.207907
            7.25029                 4.31129           1.59878            0.199006
            7.29294                 2.51662           1.60101                0.19
            7.33609                 1.40588           1.60329            0.165996
            7.37976                 0.90473           1.60561            0.141707
            7.42395                0.607825           1.60798            0.117127
            7.46867                0.406217            1.6104           0.0922502
