LinkID,EndPointID,CRUID,FEEID,ModuleType,LocalChannelID,channel #,EndPoint/Link,Module,PM channel,HV board,HV channel,MCP S/N,HV cable,signal cable
0,0,0,0,PM,1,0,0/0,PMA0,PMA0/Ch01,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,2,1,0/0,PMA0,PMA0/Ch02,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,3,2,0/0,PMA0,PMA0/Ch03,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,4,3,0/0,PMA0,PMA0/Ch04,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,5,4,0/0,PMA0,PMA0/Ch05,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,6,5,0/0,PMA0,PMA0/Ch06,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,7,6,0/0,PMA0,PMA0/Ch07,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,8,7,0/0,PMA0,PMA0/Ch08,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,9,8,0/0,PMA0,PMA0/Ch09,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,10,9,0/0,PMA0,PMA0/Ch10,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,11,10,0/0,PMA0,PMA0/Ch11,0,N/A,N/A,N/A,N/A
0,0,0,0,PM,12,11,0/0,PMA0,PMA0/Ch12,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,1,12,0/1,PMA1,PMA1/Ch01,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,2,13,0/1,PMA1,PMA1/Ch02,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,3,14,0/1,PMA1,PMA1/Ch03,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,4,15,0/1,PMA1,PMA1/Ch04,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,5,16,0/1,PMA1,PMA1/Ch05,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,6,17,0/1,PMA1,PMA1/Ch06,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,7,18,0/1,PMA1,PMA1/Ch07,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,8,19,0/1,PMA1,PMA1/Ch08,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,9,20,0/1,PMA1,PMA1/Ch09,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,10,21,0/1,PMA1,PMA1/Ch10,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,11,22,0/1,PMA1,PMA1/Ch11,0,N/A,N/A,N/A,N/A
1,0,0,1,PM,12,23,0/1,PMA1,PMA1/Ch12,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,1,24,0/2,PMA2,PMA2/Ch01,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,2,25,0/2,PMA2,PMA2/Ch02,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,3,26,0/2,PMA2,PMA2/Ch03,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,4,27,0/2,PMA2,PMA2/Ch04,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,5,28,0/2,PMA2,PMA2/Ch05,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,6,29,0/2,PMA2,PMA2/Ch06,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,7,30,0/2,PMA2,PMA2/Ch07,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,8,31,0/2,PMA2,PMA2/Ch08,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,9,32,0/2,PMA2,PMA2/Ch09,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,10,33,0/2,PMA2,PMA2/Ch10,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,11,34,0/2,PMA2,PMA2/Ch11,0,N/A,N/A,N/A,N/A
2,0,0,2,PM,12,35,0/2,PMA2,PMA2/Ch12,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,1,36,0/3,PMA3,PMA3/Ch01,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,2,37,0/3,PMA3,PMA3/Ch02,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,3,38,0/3,PMA3,PMA3/Ch03,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,4,39,0/3,PMA3,PMA3/Ch04,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,5,40,0/3,PMA3,PMA3/Ch05,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,6,41,0/3,PMA3,PMA3/Ch06,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,7,42,0/3,PMA3,PMA3/Ch07,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,8,43,0/3,PMA3,PMA3/Ch08,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,9,44,0/3,PMA3,PMA3/Ch09,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,10,45,0/3,PMA3,PMA3/Ch10,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,11,46,0/3,PMA3,PMA3/Ch11,0,N/A,N/A,N/A,N/A
3,0,0,3,PM,12,47,0/3,PMA3,PMA3/Ch12,0,N/A,N/A,N/A,N/A
4,0,0,4,TCM,,48,0/4,TCM,,,,,,
