"LinkID","EndPointID","CRUID","FEEID","ModuleType","LocalChannelID","channel #","EndPoint/Link","Module","PM channel","HV board","HV channel","MCP S/N","HV cable","signal cable"
0,0,0,0,"PM",1,0,"0/0","PMA0","PMA0/Ch01",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",2,1,"0/0","PMA0","PMA0/Ch02",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",3,2,"0/0","PMA0","PMA0/Ch03",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",4,3,"0/0","PMA0","PMA0/Ch04",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",5,4,"0/0","PMA0","PMA0/Ch05",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",6,5,"0/0","PMA0","PMA0/Ch06",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",7,6,"0/0","PMA0","PMA0/Ch07",0,"N/A","N/A","N/A","N/A"
0,0,0,0,"PM",8,7,"0/0","PMA0","PMA0/Ch08",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",1,8,"0/1","PMA1","PMA1/Ch01",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",2,9,"0/1","PMA1","PMA1/Ch02",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",3,10,"0/1","PMA1","PMA1/Ch03",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",4,11,"0/1","PMA1","PMA1/Ch04",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",5,12,"0/1","PMA1","PMA1/Ch05",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",6,13,"0/1","PMA1","PMA1/Ch06",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",7,14,"0/1","PMA1","PMA1/Ch07",0,"N/A","N/A","N/A","N/A"
1,0,0,1,"PM",8,15,"0/1","PMA1","PMA1/Ch08",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",1,16,"0/2","PMA2","PMA2/Ch01",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",2,17,"0/2","PMA2","PMA2/Ch02",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",3,18,"0/2","PMA2","PMA2/Ch03",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",4,19,"0/2","PMA2","PMA2/Ch04",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",5,20,"0/2","PMA2","PMA2/Ch05",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",6,21,"0/2","PMA2","PMA2/Ch06",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",7,22,"0/2","PMA2","PMA2/Ch07",0,"N/A","N/A","N/A","N/A"
2,0,0,2,"PM",8,23,"0/2","PMA2","PMA2/Ch08",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",1,24,"0/3","PMA3","PMA3/Ch01",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",2,25,"0/3","PMA3","PMA3/Ch02",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",3,26,"0/3","PMA3","PMA3/Ch03",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",4,27,"0/3","PMA3","PMA3/Ch04",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",5,28,"0/3","PMA3","PMA3/Ch05",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",6,29,"0/3","PMA3","PMA3/Ch06",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",7,30,"0/3","PMA3","PMA3/Ch07",0,"N/A","N/A","N/A","N/A"
3,0,0,3,"PM",8,31,"0/3","PMA3","PMA3/Ch08",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",1,32,"0/4","PMA4","PMA4/Ch01",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",2,33,"0/4","PMA4","PMA4/Ch02",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",3,34,"0/4","PMA4","PMA4/Ch03",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",4,35,"0/4","PMA4","PMA4/Ch04",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",5,36,"0/4","PMA4","PMA4/Ch05",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",6,37,"0/4","PMA4","PMA4/Ch06",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",7,38,"0/4","PMA4","PMA4/Ch07",0,"N/A","N/A","N/A","N/A"
4,0,0,4,"PM",8,39,"0/4","PMA4","PMA4/Ch08",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",1,40,"0/5","PMA5","PMA5/Ch01",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",2,41,"0/5","PMA5","PMA5/Ch02",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",3,42,"0/5","PMA5","PMA5/Ch03",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",4,43,"0/5","PMA5","PMA5/Ch04",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",5,44,"0/5","PMA5","PMA5/Ch05",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",6,45,"0/5","PMA5","PMA5/Ch06",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",7,46,"0/5","PMA5","PMA5/Ch07",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",8,47,"0/5","PMA5","PMA5/Ch08",0,"N/A","N/A","N/A","N/A"
5,0,0,5,"PM",12,49,"0/5","PMA5","PMA5/Ch012",0,"N/A","N/A","N/A","N/A"
11,0,0,11,"TCM","","","0/11","TCM","","","","","",""
