# Optical properties of quartz Spectrasil2000 & QE of MCP-PMT XP85012
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex   QuantumEfficiency
            1.24104                 3421.18           1.45043                   0
            1.24228                 3187.97           1.45044                   0
            1.24353                 2820.29           1.45045                   0
            1.24478                  2574.7           1.45046                   0
            1.24603                 2699.84           1.45048                   0
            1.24728                 2737.22           1.45049                   0
            1.24854                 2507.31            1.4505                   0
             1.2498                 2314.62           1.45051                   0
            1.25106                 2479.35           1.45053                   0
            1.25232                 2472.61           1.45054                   0
            1.25359                 2248.48           1.45055                   0
            1.25486                 2145.82           1.45057                   0
            1.25613                 2037.05           1.45058                   0
             1.2574                 2011.96           1.45059                   0
            1.25868                 2019.61           1.45061                   0
            1.25996                 1936.23           1.45062                   0
            1.26124                 1846.23           1.45063                   0
            1.26253                 1721.89           1.45064                   0
            1.26381                 1711.03           1.45066                   0
             1.2651                 1640.42           1.45067                   0
            1.26639                 1588.92           1.45068                   0
            1.26769                 1498.78            1.4507                   0
            1.26899                 1424.72           1.45071                   0
            1.27029                 1384.31           1.45072                   0
            1.27159                 1314.28           1.45073                   0
             1.2729                 1232.36           1.45075                   0
             1.2742                 1189.45           1.45076                   0
            1.27551                 1170.79           1.45077                   0
            1.27683                 1089.01           1.45079                   0
            1.27814                 1044.86            1.4508                   0
            1.27946                 996.898           1.45081                   0
            1.28079                 958.358           1.45082                   0
            1.28211                 894.071           1.45084                   0
            1.28344                 852.745           1.45085                   0
            1.28477                 817.429           1.45086                   0
             1.2861                 778.062           1.45088                   0
            1.28744                 724.415           1.45089                   0
            1.28877                 684.809            1.4509                   0
            1.29011                 637.656           1.45092                   0
            1.29146                 608.727           1.45093                   0
            1.29281                 572.549           1.45094                   0
            1.29415                 535.834           1.45096                   0
            1.29551                 503.829           1.45097                   0
            1.29686                 472.131           1.45098                   0
            1.29822                 444.765             1.451                   0
            1.29958                 421.134           1.45101                   0
            1.30094                 400.311           1.45102                   0
            1.30231                 380.157           1.45104                   0
            1.30368                 364.707           1.45105                   0
            1.30505                 349.772           1.45106                   0
            1.30643                 338.073           1.45108                   0
            1.30781                 326.177           1.45109                   0
            1.30919                 320.817            1.4511                   0
            1.31057                 320.247           1.45112                   0
            1.31196                 323.879           1.45113                   0
            1.31335                 328.772           1.45114                   0
            1.31474                 338.753           1.45116                   0
            1.31614                 354.774           1.45117                   0
            1.31753                 374.608           1.45118                   0
            1.31894                 402.916            1.4512                   0
            1.32034                 443.293           1.45121                   0
            1.32175                 491.579           1.45122                   0
            1.32316                 553.494           1.45124                   0
            1.32457                  621.13           1.45125                   0
            1.32599                 705.315           1.45126                   0
            1.32741                 808.477           1.45128                   0
            1.32883                 941.607           1.45129                   0
            1.33026                 1120.52            1.4513                   0
            1.33169                 1311.39           1.45132                   0
            1.33312                  1555.4           1.45133                   0
            1.33455                 1772.21           1.45134                   0
            1.33599                  2049.9           1.45136                   0
            1.33743                 2469.52           1.45137                   0
            1.33888                 3234.15           1.45139                   0
            1.34032                 4075.02            1.4514                   0
            1.34177                 5238.78           1.45141                   0
            1.34323                 6346.16           1.45143                   0
            1.34469                 8609.41           1.45144                   0
            1.34615                 14356.7           1.45146                   0
            1.34761                 28235.8           1.45147                   0
            1.34908                 31902.9           1.45148                   0
            1.35054                 30650.1            1.4515                   0
            1.35202                 16845.3           1.45151                   0
            1.35349                 23981.6           1.45153                   0
            1.35497                 33594.5           1.45154                   0
            1.35646                 31844.8           1.45155                   0
            1.35794                 20637.2           1.45157                   0
            1.35943                 21299.3           1.45158                   0
            1.36092                 25968.8            1.4516                   0
            1.36242                 19319.9           1.45161                   0
            1.36392                 19084.6           1.45162                   0
            1.36542                 22465.1           1.45164                   0
            1.36692                 21680.1           1.45165                   0
            1.36843                 23287.1           1.45167                   0
            1.36994                 18774.5           1.45168                   0
            1.37146                 22270.5           1.45169                   0
            1.37298                 18643.6           1.45171                   0
             1.3745                 18862.8           1.45172                   0
            1.37603                 13847.8           1.45174                   0
            1.37756                 13591.2           1.45175                   0
            1.37909                 14707.3           1.45176                   0
            1.38062                 14086.8           1.45178                   0
            1.38216                 13242.3           1.45179                   0
            1.38371                   16987           1.45181                   0
            1.38525                 19030.4           1.45182                   0
             1.3868                 16546.3           1.45184                   0
            1.38835                 17337.1           1.45185                   0
            1.38991                 22495.4           1.45187                   0
            1.39147                 17355.2           1.45188                   0
            1.39303                 16113.4           1.45189                   0
             1.3946                 18332.7           1.45191                   0
            1.39617                 15573.7           1.45192                   0
            1.39775                 14509.7           1.45194                   0
            1.39932                 14027.5           1.45195                   0
             1.4009                   16695           1.45197                   0
            1.40249                   14687           1.45198                   0
            1.40408                 13213.8             1.452                   0
            1.40567                   19363           1.45201                   0
            1.40726                   15111           1.45203                   0
            1.40886                 13874.6           1.45204                   0
            1.41047                 17189.1           1.45206                   0
            1.41207                 21826.3           1.45207                   0
            1.41368                 14468.3           1.45209                   0
             1.4153                 15494.6            1.4521                   0
            1.41691                 30339.7           1.45212                   0
            1.41854                 23447.4           1.45213                   0
            1.42016                 18049.6           1.45215                   0
            1.42179                 16864.9           1.45216                   0
            1.42342                 15929.2           1.45218                   0
            1.42506                 14080.8           1.45219                   0
             1.4267                   15859           1.45221                   0
            1.42834                 19753.6           1.45222                   0
            1.42999                 14587.8           1.45223                   0
            1.43164                 13548.8           1.45225                   0
            1.43329                 13530.3           1.45227                   0
            1.43495                 13504.1           1.45228                   0
            1.43662                 17036.4            1.4523                   0
            1.43828                 12763.5           1.45231                   0
            1.43995                 40956.2           1.45233                   0
            1.44163                 28235.8           1.45234                   0
            1.44331                 31902.9           1.45236                   0
            1.44499                 30650.1           1.45237                   0
            1.44667                 16845.3           1.45239                   0
            1.44836                 23981.6            1.4524                   0
            1.45006                 33594.5           1.45242                   0
            1.45176                 31844.8           1.45243                   0
            1.45346                 20637.2           1.45245                   0
            1.45516                 21299.3           1.45246                   0
            1.45687                 25968.8           1.45248                   0
            1.45859                 19319.9            1.4525                   0
            1.46031                 19084.6           1.45251                   0
            1.46203                 22465.1           1.45253                   0
            1.46375                 21680.1           1.45254                   0
            1.46548                 23287.1           1.45256                   0
            1.46722                 18774.5           1.45257                   0
            1.46896                 22270.5           1.45259                   0
             1.4707                 18643.6           1.45261                   0
            1.47245                 18862.8           1.45262                   0
             1.4742                 13847.8           1.45264                   0
            1.47595                 13591.2           1.45265                   0
            1.47771                 14707.3           1.45267                   0
            1.47947                 14086.8           1.45268                   0
            1.48124                 13242.3            1.4527                   0
            1.48301                   16987           1.45272                   0
            1.48479                 19030.4           1.45273                   0
            1.48657                 16546.3           1.45275                   0
            1.48836                 17337.1           1.45276                   0
            1.49014                 22495.4           1.45278                   0
            1.49194                 17355.2            1.4528                   0
            1.49373                 16113.4           1.45281                   0
            1.49554                 18332.7           1.45283                   0
            1.49734                 15573.7           1.45285                   0
            1.49915                 14509.7           1.45286                   0
            1.50097                 14027.5           1.45288                   0
            1.50279                   16695           1.45289                   0
            1.50461                 13045.7           1.45291                   0
            1.50644                 13777.4           1.45293                   0
            1.50827                 13538.5           1.45294                   0
            1.51011                 9940.26           1.45296                   0
