// FEE, Lane, Chip, Layer, Col, Row, Inv Col, Inv Row
// Layer 0, version 0
0, 0, 0, 0, 0, 4, 0, 0
0, 0, 1, 0, 1, 4, 0, 0
0, 0, 2, 0, 2, 4, 0, 0
0, 0, 3, 0, 0, 2, 0, 0
0, 0, 4, 0, 1, 2, 0, 0
0, 0, 5, 0, 2, 2, 0, 0
0, 0, 6, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 0, 0, 0
0, 0, 8, 0, 2, 0, 0, 0
// Layer 0, version 1
1, 0, 0, 0, 0, 5, 0, 0
1, 0, 1, 0, 1, 5, 0, 0
1, 0, 2, 0, 2, 5, 0, 0
1, 0, 3, 0, 0, 3, 0, 0
1, 0, 4, 0, 1, 3, 0, 0
1, 0, 5, 0, 2, 3, 0, 0
1, 0, 6, 0, 0, 1, 0, 0
1, 0, 7, 0, 1, 1, 0, 0
1, 0, 8, 0, 2, 1, 0, 0
// Layer 1, version 0
2, 0, 0, 1, 0, 4, 0, 0
2, 0, 1, 1, 1, 4, 0, 0
2, 0, 2, 1, 2, 4, 0, 0
2, 0, 3, 1, 0, 2, 0, 0
2, 0, 4, 1, 1, 2, 0, 0
2, 0, 5, 1, 2, 2, 0, 0
2, 0, 6, 1, 0, 0, 0, 0
2, 0, 7, 1, 1, 0, 0, 0
2, 0, 8, 1, 2, 0, 0, 0
// Layer 1, version 1
3, 0, 0, 1, 0, 5, 0, 0
3, 0, 1, 1, 1, 5, 0, 0
3, 0, 2, 1, 2, 5, 0, 0
3, 0, 3, 1, 0, 3, 0, 0
3, 0, 4, 1, 1, 3, 0, 0
3, 0, 5, 1, 2, 3, 0, 0
3, 0, 6, 1, 0, 1, 0, 0
3, 0, 7, 1, 1, 1, 0, 0
3, 0, 8, 1, 2, 1, 0, 0
