// FEE, Lane, Chip, Layer, Col, Row, Inv Col, Inv Row
// Layer0, v0 (upper and lower)
0, 8, 6, 0, 0, 5, 1, 0
0, 8, 5, 0, 1, 5, 1, 0
0, 8, 4, 0, 2, 5, 1, 0
0, 8, 3, 0, 3, 5, 1, 0
0, 8, 2, 0, 4, 5, 1, 0
0, 8, 1, 0, 5, 5, 1, 0
0, 8, 0, 0, 6, 5, 1, 0
0, 6, 8, 0, 0, 4, 0, 1
0, 6, 9, 0, 1, 4, 0, 1
0, 6, 10, 0, 2, 4, 0, 1
0, 6, 11, 0, 3, 4, 0, 1
0, 6, 12, 0, 4, 4, 0, 1
0, 6, 13, 0, 5, 4, 0, 1
0, 6, 14, 0, 6, 4, 0, 1
0, 24, 6, 0, 0, 1, 1, 0
0, 24, 5, 0, 1, 1, 1, 0
0, 24, 4, 0, 2, 1, 1, 0
0, 24, 3, 0, 3, 1, 1, 0
0, 24, 2, 0, 4, 1, 1, 0
0, 24, 1, 0, 5, 1, 1, 0
0, 24, 0, 0, 6, 1, 1, 0
0, 22, 8, 0, 0, 0, 0, 1
0, 22, 9, 0, 1, 0, 0, 1
0, 22, 10, 0, 2, 0, 0, 1
0, 22, 11, 0, 3, 0, 0, 1
0, 22, 12, 0, 4, 0, 0, 1
0, 22, 13, 0, 5, 0, 0, 1
0, 22, 14, 0, 6, 0, 0, 1
// Layer0, v1 (middle)
1, 6, 8, 0, 0, 3, 0, 0
1, 6, 9, 0, 1, 3, 0, 0
1, 6, 10, 0, 2, 3, 0, 0
1, 6, 11, 0, 3, 3, 0, 0
1, 6, 12, 0, 4, 3, 0, 0
1, 6, 13, 0, 5, 3, 0, 0
1, 6, 14, 0, 6, 3, 0, 0
1, 8, 6, 0, 0, 2, 1, 1
1, 8, 5, 0, 1, 2, 1, 1
1, 8, 4, 0, 2, 2, 1, 1
1, 8, 3, 0, 3, 2, 1, 1
1, 8, 2, 0, 4, 2, 1, 1
1, 8, 1, 0, 5, 2, 1, 1
1, 8, 0, 0, 6, 2, 1, 1
// Layer1, v0 (upper and lower)
2, 8, 6, 1, 0, 5, 1, 0
2, 8, 5, 1, 1, 5, 1, 0
2, 8, 4, 1, 2, 5, 1, 0
2, 8, 3, 1, 3, 5, 1, 0
2, 8, 2, 1, 4, 5, 1, 0
2, 8, 1, 1, 5, 5, 1, 0
2, 8, 0, 1, 6, 5, 1, 0
2, 6, 8, 1, 0, 4, 0, 1
2, 6, 9, 1, 1, 4, 0, 1
2, 6, 10, 1, 2, 4, 0, 1
2, 6, 11, 1, 3, 4, 0, 1
2, 6, 12, 1, 4, 4, 0, 1
2, 6, 13, 1, 5, 4, 0, 1
2, 6, 14, 1, 6, 4, 0, 1
2, 24, 6, 1, 0, 1, 1, 0
2, 24, 5, 1, 1, 1, 1, 0
2, 24, 4, 1, 2, 1, 1, 0
2, 24, 3, 1, 3, 1, 1, 0
2, 24, 2, 1, 4, 1, 1, 0
2, 24, 1, 1, 5, 1, 1, 0
2, 24, 0, 1, 6, 1, 1, 0
2, 22, 8, 1, 0, 0, 0, 1
2, 22, 9, 1, 1, 0, 0, 1
2, 22, 10, 1, 2, 0, 0, 1
2, 22, 11, 1, 3, 0, 0, 1
2, 22, 12, 1, 4, 0, 0, 1
2, 22, 13, 1, 5, 0, 0, 1
2, 22, 14, 1, 6, 0, 0, 1
// Layer1, v1 (middle)
1, 22, 8, 1, 0, 3, 0, 0
1, 22, 9, 1, 1, 3, 0, 0
1, 22, 10, 1, 2, 3, 0, 0
1, 22, 11, 1, 3, 3, 0, 0
1, 22, 12, 1, 4, 3, 0, 0
1, 22, 13, 1, 5, 3, 0, 0
1, 22, 14, 1, 6, 3, 0, 0
1, 24, 6, 1, 0, 2, 1, 1
1, 24, 5, 1, 1, 2, 1, 1
1, 24, 4, 1, 2, 2, 1, 1
1, 24, 3, 1, 3, 2, 1, 1
1, 24, 2, 1, 4, 2, 1, 1
1, 24, 1, 1, 5, 2, 1, 1
1, 24, 0, 1, 6, 2, 1, 1
