* Beam Pipe PIPE
* ==============
*   Med  GAM   ELEC  NHAD  CHAD  MUON  EBREM MUHAB EDEL  MUDEL MUPA ANNI BREM COMP DCAY DRAY HADR LOSS MULS PAIR PHOT RAYL STRA
* Beryllium
PIPE  12  5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE  32  1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* C
PIPE  13  5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE  33  1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* ALU
PIPE  11  5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE  31  1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* Air
PIPE 15  5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 35  1.e-1 1.e-1 2.e-1 1.e-1
PIPE 55  1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* Vacuum
PIPE 16  5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 36  1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* Steel
PIPE 19  5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 39  1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* GETTER
PIPE 20 5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 40 1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* AlBe
PIPE 21 5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 41 1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* Polyamid
PIPE 22 5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 42 1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* Kapton
PIPE 23 5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 43 1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
* Anticorodal
PIPE 24 5.e-5 5.e-5 5.e-5 5.e-5 1.e-3 5.e-5 5.e-5 5.e-5 5.e-5 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
PIPE 44 1.e-3 1.e-3 5.e-5 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 1.e-3 -1.  -1   -1   -1   -1   1    -1   1    -1   -1   -1   -1   -1
