# RD50 NIEL damage weights, dumped from rd50_niel.root
# pdg,ekin[MeV],weight
2112,1.025000e-10,1.575000e-02
2112,1.075000e-10,1.537000e-02
2112,1.125000e-10,1.503000e-02
2112,1.175000e-10,1.470000e-02
2112,1.238000e-10,1.432000e-02
2112,1.313000e-10,1.391000e-02
2112,1.388000e-10,1.353000e-02
2112,1.463000e-10,1.317000e-02
2112,1.550000e-10,1.280000e-02
2112,1.650000e-10,1.242000e-02
2112,1.750000e-10,1.206000e-02
2112,1.850000e-10,1.172000e-02
2112,1.950000e-10,1.142000e-02
2112,2.050000e-10,1.113000e-02
2112,2.150000e-10,1.087000e-02
2112,2.250000e-10,1.063000e-02
2112,2.350000e-10,1.039000e-02
2112,2.475000e-10,1.013000e-02
2112,2.625000e-10,9.834000e-03
2112,2.750000e-10,9.609000e-03
2112,2.900000e-10,9.356000e-03
2112,3.100000e-10,9.048000e-03
2112,3.300000e-10,8.770000e-03
2112,3.500000e-10,8.516000e-03
2112,3.700000e-10,8.290000e-03
2112,3.900000e-10,8.075000e-03
2112,4.125000e-10,7.847000e-03
2112,4.375000e-10,7.622000e-03
2112,4.625000e-10,7.410000e-03
2112,4.875000e-10,7.219000e-03
2112,5.125000e-10,7.039000e-03
2112,5.375000e-10,6.875000e-03
2112,5.625000e-10,6.718000e-03
2112,5.875000e-10,6.575000e-03
2112,6.150000e-10,6.425000e-03
2112,6.450000e-10,6.274000e-03
2112,6.750000e-10,6.134000e-03
2112,7.050000e-10,6.002000e-03
2112,7.400000e-10,5.864000e-03
2112,7.800000e-10,5.709000e-03
2112,8.200000e-10,5.567000e-03
2112,8.600000e-10,5.438000e-03
2112,9.000000e-10,5.312000e-03
2112,9.400000e-10,5.200000e-03
2112,9.800000e-10,5.091000e-03
2112,1.025000e-09,4.978000e-03
2112,1.075000e-09,4.861000e-03
2112,1.125000e-09,4.751000e-03
2112,1.175000e-09,4.649000e-03
2112,1.238000e-09,4.530000e-03
2112,1.313000e-09,4.398000e-03
2112,1.388000e-09,4.278000e-03
2112,1.463000e-09,4.171000e-03
2112,1.550000e-09,4.049000e-03
2112,1.650000e-09,3.925000e-03
2112,1.750000e-09,3.810000e-03
2112,1.850000e-09,3.706000e-03
2112,1.950000e-09,3.609000e-03
2112,2.050000e-09,3.520000e-03
2112,2.150000e-09,3.437000e-03
2112,2.250000e-09,3.360000e-03
2112,2.350000e-09,3.287000e-03
2112,2.475000e-09,3.203000e-03
2112,2.625000e-09,3.110000e-03
2112,2.750000e-09,3.039000e-03
2112,2.900000e-09,2.962000e-03
2112,3.100000e-09,2.864000e-03
2112,3.300000e-09,2.776000e-03
2112,3.500000e-09,2.695000e-03
2112,3.700000e-09,2.621000e-03
2112,3.900000e-09,2.552000e-03
2112,4.125000e-09,2.482000e-03
2112,4.375000e-09,2.409000e-03
2112,4.625000e-09,2.344000e-03
2112,4.875000e-09,2.283000e-03
2112,5.125000e-09,2.226000e-03
2112,5.375000e-09,2.174000e-03
2112,5.625000e-09,2.125000e-03
2112,5.875000e-09,2.082000e-03
2112,6.150000e-09,2.034000e-03
2112,6.450000e-09,1.985000e-03
2112,6.750000e-09,1.941000e-03
2112,7.050000e-09,1.898000e-03
2112,7.400000e-09,1.853000e-03
2112,7.800000e-09,1.805000e-03
2112,8.200000e-09,1.760000e-03
2112,8.600000e-09,1.718000e-03
2112,9.000000e-09,1.680000e-03
2112,9.400000e-09,1.644000e-03
2112,9.800000e-09,1.610000e-03
2112,1.025000e-08,1.574000e-03
2112,1.075000e-08,1.537000e-03
2112,1.125000e-08,1.503000e-03
2112,1.175000e-08,1.472000e-03
2112,1.238000e-08,1.433000e-03
2112,1.313000e-08,1.392000e-03
2112,1.388000e-08,1.353000e-03
2112,1.463000e-08,1.318000e-03
2112,1.550000e-08,1.280000e-03
